FECHA,DEPARTAMENTO,MUNICIPIO,ZONA,DÍA,HORA,EDAD,SEXO,MÓVIL AGRESOR,MÓVIL VÍCTIMA,ARMA O MEDIO UTILIZADO,CLASE DE EMPLEADO,ESTADO CIVIL,CLASE DE SITIO,VÍCTIMAS
1-Jan-11,SANTANDER,Girón,URBANA,SABADO,0:41,32,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,INDEPENDIENTE,U-LIBRE,TIENDA,1
1-Jan-11,QUINDÍO,Armenia ,URBANA,SABADO,0:00,16,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,QUINDÍO,Armenia ,URBANA,SABADO,0:00,26,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,EMPLEADO POLICIAL,CASADO,VIAS PUBLICAS,1
1-Jan-11,QUINDÍO,Armenia ,URBANA,SABADO,0:00,26,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,EMPLEADO POLICIAL,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,NARIÑO,Pasto ,URBANA,SABADO,0:30,26,MASCULINO,A PIE,A PIE,ARMA BLANCA,NO REPORTA,NO REPORTA,VIAS PUBLICAS,1
1-Jan-11,ATLÁNTICO,Barranquilla ,URBANA,SABADO,4:00,26,MASCULINO,A PIE,A PIE,ARMA BLANCA,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,NORTE DE SANTANDER,Cúcuta ,URBANA,SABADO,3:15,24,MASCULINO,MOTO,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,VALLE,Cali ,URBANA,SABADO,5:15,23,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,ANTIOQUIA,Sonson,URBANA,SABADO,6:30,32,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,AGRICULTOR,U-LIBRE,FINCAS Y SIMILARES,1
1-Jan-11,VALLE,Cali ,URBANA,SABADO,8:10,24,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,CUNDINAMARCA,Bogotá D.C. ,URBANA,SABADO,23:20,40,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,INDEPENDIENTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,VALLE,Cali ,URBANA,SABADO,2:10,23,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,QUINDÍO,Armenia ,URBANA,SABADO,5:30,21,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,FRENTE A RESIDENCIAS - VIA PUBLICA,1
1-Jan-11,TOLIMA,Ibagué ,URBANA,SABADO,3:05,18,MASCULINO,A PIE,A PIE,ARMA BLANCA,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,ATLÁNTICO,Barranquilla ,URBANA,SABADO,3:00,39,MASCULINO,NO REPORTA,NO REPORTA,ARMA DE FUEGO,EMPLEADO PARTICULAR,U-LIBRE,VIAS PUBLICAS,1
1-Jan-11,VALLE,Cali ,URBANA,SABADO,10:30,26,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,INDEPENDIENTE,CASADO,VIAS PUBLICAS,1
1-Jan-11,VALLE,Cali ,URBANA,SABADO,10:00,33,MASCULINO,A PIE,A PIE,ARMA BLANCA,EMPLEADO PARTICULAR,SOLTERO,CASAS DE HABITACION,1
1-Jan-11,SANTANDER,Landázuri,RURAL,SABADO,1:01,27,MASCULINO,A PIE,A PIE,ARMA BLANCA,AGRICULTOR,SOLTERO,FINCAS Y SIMILARES,1
1-Jan-11,ANTIOQUIA,Amagá,URBANA,SABADO,5:56,28,MASCULINO,A PIE,A PIE,ARMA BLANCA,EMPLEADO PARTICULAR,U-LIBRE,VIAS PUBLICAS,1
1-Jan-11,CUNDINAMARCA,Soacha,URBANA,SABADO,2:30,25,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,VALLE,Palmira,RURAL,SABADO,8:30,32,MASCULINO,MOTO,A PIE,ARMA DE FUEGO,COMERCIANTE,U-LIBRE,VIAS PUBLICAS,1
1-Jan-11,VALLE,Palmira,RURAL,SABADO,8:30,35,MASCULINO,MOTO,A PIE,ARMA DE FUEGO,DESEMPLEADO,U-LIBRE,VIAS PUBLICAS,1
1-Jan-11,CUNDINAMARCA,Bogotá D.C. ,URBANA,SABADO,6:10,15,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,INDEPENDIENTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,CUNDINAMARCA,Bogotá D.C. ,URBANA,SABADO,4:45,19,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,INDEPENDIENTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,CUNDINAMARCA,Bogotá D.C. ,URBANA,SABADO,2:00,30,MASCULINO,A PIE,A PIE,ARMA BLANCA,INDEPENDIENTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,CUNDINAMARCA,Bogotá D.C. ,URBANA,SABADO,11:20,24,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,INDEPENDIENTE,U-LIBRE,VIAS PUBLICAS,1
1-Jan-11,CUNDINAMARCA,Bogotá D.C. ,URBANA,SABADO,11:20,32,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,INDEPENDIENTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,ANTIOQUIA,San Pedro,URBANA,SABADO,9:40,45,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,COMERCIANTE,SOLTERO,SUPERMERCADOS,1
1-Jan-11,HUILA,Campoalegre,URBANA,SABADO,5:15,26,MASCULINO,A PIE,A PIE,ARMA BLANCA,AGRICULTOR,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,TOLIMA,Mariquita,URBANA,SABADO,1:36,35,MASCULINO,A PIE,A PIE,ARMA BLANCA,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,TOLIMA,Mariquita,URBANA,SABADO,5:05,26,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,ATLÁNTICO,Soledad,URBANA,SABADO,16:50,32,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,INDEPENDIENTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,SANTANDER,Bucaramanga ,URBANA,SABADO,9:20,36,MASCULINO,A PIE,A PIE,ARMA BLANCA,INDEPENDIENTE,SOLTERO,"HOTELES, RESIDENCIAS, Y SIMILARES.",1
1-Jan-11,NARIÑO,Pasto ,URBANA,SABADO,3:00,30,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,NO REPORTA,NO REPORTA,VIAS PUBLICAS,1
1-Jan-11,VALLE,Cali ,URBANA,SABADO,13:00,30,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,COMERCIANTE,U-LIBRE,VIAS PUBLICAS,1
1-Jan-11,VALLE,Cali ,URBANA,SABADO,11:30,25,MASCULINO,A PIE,A PIE,ARMA BLANCA,INDEPENDIENTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,META,Mesetas,RURAL,SABADO,1:30,40,MASCULINO,A PIE,A PIE,ARMA BLANCA,INDEPENDIENTE,U-LIBRE,"BARES, CANTINAS Y SIMILARES",1
1-Jan-11,SANTANDER,Bucaramanga ,URBANA,SABADO,17:00,22,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,U-LIBRE,VIAS PUBLICAS,1
1-Jan-11,RISARALDA,Pereira ,URBANA,SABADO,4:00,20,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,VALLE,Cartago,URBANA,SABADO,7:00,28,MASCULINO,MOTO,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,SANTANDER,Girón,URBANA,SABADO,17:00,24,MASCULINO,A PIE,A PIE,ARMA BLANCA,INDEPENDIENTE,SOLTERO,VIAS PUBLICAS,1
