FECHA,DEPARTAMENTO,MUNICIPIO,ZONA,DÍA,HORA,EDAD,SEXO,MÓVIL AGRESOR,MÓVIL VÍCTIMA,ARMA O MEDIO UTILIZADO,CLASE DE EMPLEADO,ESTADO CIVIL,CLASE DE SITIO,VÍCTIMAS
1-Jan-12,HUILA,Neiva ,URBANA,DOMINGO,1:15,32,MASCULINO,A PIE,A PIE,ARMA BLANCA,EMPLEADO PARTICULAR,U-LIBRE,VIAS PUBLICAS,1
1-Jan-12,SANTANDER,Piedecuesta,URBANA,DOMINGO,4:00,36,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,CASADO,VIAS PUBLICAS,1
1-Jan-12,VALLE,Cali ,URBANA,DOMINGO,3:00,58,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,U-LIBRE,VIAS PUBLICAS,1
1-Jan-12,VALLE,Cali ,URBANA,DOMINGO,4:40,21,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,SOLTERO,VIAS PUBLICAS,1
1-Jan-12,SANTANDER,Bucaramanga ,URBANA,DOMINGO,6:20,26,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,SOLTERO,VIAS PUBLICAS,1
1-Jan-12,VALLE,Palmira,URBANA,DOMINGO,4:05,38,FEMENINO,VEHICULO,A PIE,ARMA DE FUEGO,AMA DE CASA,U-LIBRE,VIAS PUBLICAS,1
1-Jan-12,NORTE DE SANTANDER,La Esperanza,RURAL,DOMINGO,4:30,21,MASCULINO,A PIE,A PIE,ARMA BLANCA,AGRICULTOR,SOLTERO,VIAS PUBLICAS,1
1-Jan-12,MAGDALENA,Zona Bananera,RURAL,DOMINGO,3:20,40,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,U-LIBRE,VIAS PUBLICAS,1
1-Jan-12,BOYACÁ,Siachoque,RURAL,DOMINGO,4:30,22,FEMENINO,A PIE,A PIE,ARMA BLANCA,AMA DE CASA,SOLTERO,FINCAS Y SIMILARES,1
1-Jan-12,GUAJIRA,Riohacha ,URBANA,DOMINGO,2:30,23,FEMENINO,A PIE,A PIE,ARMA BLANCA,INDEPENDIENTE,U-LIBRE,"HOTELES, RESIDENCIAS, Y SIMILARES.",1
1-Jan-12,NORTE DE SANTANDER,Abrego,URBANA,DOMINGO,9:30,34,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,AGRICULTOR,U-LIBRE,VIAS PUBLICAS,1
1-Jan-12,NORTE DE SANTANDER,Abrego,URBANA,DOMINGO,9:30,35,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,AGRICULTOR,U-LIBRE,VIAS PUBLICAS,1
1-Jan-12,VALLE,Florida,URBANA,DOMINGO,5:15,34,MASCULINO,NO REPORTA,NO REPORTA,ARMA BLANCA,INDEPENDIENTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-12,NARIÑO,Ancuyá,RURAL,DOMINGO,4:30,21,MASCULINO,A PIE,A PIE,ARMA BLANCA,AGRICULTOR,SOLTERO,VIAS PUBLICAS,1
1-Jan-12,VALLE,Palmira,URBANA,DOMINGO,5:30,30,MASCULINO,A PIE,A PIE,ARMA BLANCA,EMPLEADO PARTICULAR,SOLTERO,VIAS PUBLICAS,1
